Entry Date,Exit Date,Direction,Entry Price,Exit Price,Return,Duration,window,num_std,Sharpe,Max Drawdown,Final Return,Win Rate
2012-08-21,2012-09-21,Short,1.247,1.2971,-0.040176423416198724,31,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2012-09-26,2012-10-04,Long,1.2872,1.3017,0.011264760720944827,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2012-10-05,2012-10-09,Short,1.3029,1.2882,0.01128252360119728,4,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2012-10-16,2012-10-23,Short,1.3097,1.2984,0.008627930060319224,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2012-10-29,2012-11-15,Long,1.2901,1.2779,-0.009456631268893876,17,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2012-11-19,2012-12-06,Short,1.2814,1.2969,-0.012096144841579403,17,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2012-12-14,2012-12-31,Short,1.316,1.3192,-0.002431610942249141,17,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-01-03,2013-01-10,Long,1.3048,1.3267,0.01678418148375232,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-01-11,2013-01-23,Short,1.3342,1.3318,0.0017988307600059644,12,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-01-25,2013-02-07,Short,1.3457,1.3396,0.004532956825444003,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-02-08,2013-03-07,Long,1.3364,1.3107,-0.019230769230769273,27,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-03-13,2013-03-15,Long,1.2957,1.3076,0.009184224743381972,2,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-03-19,2013-03-22,Long,1.2866,1.2988,0.009482356598787493,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-03-25,2013-04-04,Long,1.2845,1.2932,0.006773063448812713,10,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-04-05,2013-04-17,Short,1.2989,1.3035,-0.003541458156902117,12,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-04-23,2013-04-29,Long,1.3,1.3093,0.007153846153846049,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-04-30,2013-05-02,Short,1.3166,1.3062,0.007899134133373816,2,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-05-10,2013-05-23,Long,1.2992,1.2932,-0.0046182266009852264,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-05-30,2013-06-19,Short,1.3045,1.3295,-0.019164430816404683,20,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-06-21,2013-07-10,Long,1.3115,1.3023,-0.007014868471216238,19,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
